State,Arrests for 2017,Arrests for 2018,Arrests for 2019,Arrests for 2020,Arrests for 2021
AK,5213.0,5395.0,4507.0,3812.0,972.0
AL,25436.0,25581.0,23120.0,695.0,5480.0
AR,17981.0,19783.0,19841.0,15387.0,13701.0
AZ,52895.0,49368.0,46165.0,39037.0,14028.0
CA,153175.0,141270.0,134707.0,113589.0,7060.0
CO,38158.0,37361.0,38290.0,31484.0,28028.0
CT,18964.0,16850.0,15525.0,11592.0,9902.0
DC,191.0,142.0,219.0,154.0,169.0
DE,9650.0,8230.0,8528.0,6384.0,5783.0
FL,113871.0,3572.0,107224.0,83800.0,171.0
GA,49849.0,41872.0,20264.0,19018.0,24667.0
HI,4806.0,4462.0,4565.0,3025.0,2255.0
IA,17317.0,13322.0,15963.0,12583.0,11108.0
ID,7482.0,7056.0,6310.0,4833.0,4228.0
IL,14093.0,17976.0,1006.0,864.0,6849.0
IN,20878.0,18968.0,15857.0,10966.0,11519.0
KS,8411.0,2245.0,7289.0,7887.0,6395.0
KY,24843.0,25633.0,23882.0,13368.0,15150.0
LA,33398.0,41621.0,37815.0,29292.0,16829.0
MA,19706.0,17247.0,15550.0,10638.0,9733.0
MD,29145.0,26388.0,26466.0,3150.0,4179.0
ME,7501.0,7354.0,6700.0,5641.0,5012.0
MI,35348.0,33994.0,33180.0,23232.0,20664.0
MN,35793.0,33208.0,36647.0,28370.0,22691.0
MO,42808.0,38702.0,34222.0,28234.0,22662.0
MS,12344.0,10399.0,10871.0,6113.0,6223.0
MT,6448.0,5881.0,6220.0,5514.0,5072.0
NC,62238.0,61420.0,41963.0,35786.0,32312.0
ND,5250.0,4425.0,4750.0,4493.0,3994.0
NE,5543.0,13555.0,13006.0,7649.0,5002.0
NH,7032.0,6695.0,6225.0,4787.0,3824.0
NJ,36214.0,32156.0,32903.0,24044.0,2577.0
NM,7187.0,10541.0,8715.0,6336.0,3681.0
NV,16449.0,16347.0,17233.0,14004.0,12622.0
NY,70330.0,63707.0,58327.0,45600.0,12490.0
OH,48333.0,44094.0,41111.0,25819.0,22326.0
OK,21185.0,21581.0,21839.0,18919.0,14626.0
OR,25916.0,28067.0,29159.0,22987.0,19806.0
PA,71258.0,64285.0,24147.0,447.0,2547.0
RI,4775.0,4687.0,4583.0,3222.0,3111.0
SC,37611.0,35696.0,35456.0,30443.0,23925.0
SD,5016.0,4548.0,4370.0,3858.0,2387.0
TN,54153.0,54586.0,52017.0,43523.0,36270.0
TX,103945.0,99053.0,92623.0,70882.0,67002.0
UT,22611.0,21160.0,20161.0,16520.0,15170.0
VA,42763.0,40323.0,38815.0,30219.0,26667.0
VT,2658.0,2543.0,2946.0,1967.0,1974.0
WA,38944.0,37527.0,36000.0,31340.0,25072.0
WI,41639.0,36385.0,34592.0,27736.0,21860.0
WV,8159.0,6486.0,5402.0,4609.0,4062.0
WY,3192.0,2876.0,2586.0,2688.0,1316.0
