State,Average Total Arrests
Alabama,14788.09090909091
Alaska,4874.818181818182
Arizona,51941.27272727273
Arkansas,20262.272727272728
California,169814.81818181818
Colorado,36757.09090909091
Connecticut,19024.545454545456
Delaware,10176.363636363636
District Of Columbia,195.0
Florida,77116.75
Georgia,53639.63636363636
Hawaii,5208.545454545455
Idaho,7966.454545454545
Illinois,15735.90909090909
Indiana,27718.81818181818
Iowa,17286.363636363636
Kansas,9133.636363636364
Kentucky,24898.272727272728
Louisiana,34012.36363636364
Maine,8720.272727272728
Maryland,28773.0
Massachusetts,21635.363636363636
Michigan,38513.545454545456
Minnesota,35799.90909090909
Mississippi,12647.272727272728
Missouri,45430.72727272727
Montana,6003.090909090909
Nebraska,12902.0
Nevada,18307.272727272728
New Hampshire,7222.818181818182
New Jersey,39144.72727272727
New Mexico,12526.545454545454
New York,75363.0
North Carolina,75415.45454545454
North Dakota,4578.636363636364
Ohio,46258.63636363636
Oklahoma,23389.727272727272
Oregon,26489.272727272728
Pennsylvania,67405.90909090909
Rhode Island,5140.181818181818
South Carolina,38554.90909090909
South Dakota,4840.636363636364
Tennessee,57332.818181818184
Texas,130607.27272727272
Utah,23567.727272727272
Vermont,2655.818181818182
Virgin Islands,58.0
Virginia,46741.72727272727
Washington,40428.181818181816
West Virginia,8452.0
Wisconsin,44188.90909090909
Wyoming,3362.5454545454545
